Date,Open
14-03-14,48.560001
17-03-14,49.009998
18-03-14,49.369999
19-03-14,50.529999
20-03-14,50.02
21-03-14,49.830002
24-03-14,49.639999
25-03-14,49.299999
26-03-14,49.860001
27-03-14,48.639999
28-03-14,49.400002
31-03-14,49.599998
01-04-14,52.549999
02-04-14,53.080002
03-04-14,52.950001
04-04-14,54.389999
07-04-14,52.720001
08-04-14,51.77
09-04-14,51.139999
10-04-14,52.259998
11-04-14,50.459999
14-04-14,50.060001
15-04-14,50.209999
16-04-14,50.040001
17-04-14,50.139999
21-04-14,50.200001
22-04-14,50.799999
23-04-14,51.220001
24-04-14,50.509998
25-04-14,49.779999
28-04-14,48.669998
29-04-14,49.189999
30-04-14,49.59
01-05-14,49.459999
02-05-14,50.91
05-05-14,49.799999
06-05-14,51.610001
07-05-14,49.650002
08-05-14,50.330002
09-05-14,49.860001
12-05-14,49.610001
13-05-14,50.150002
14-05-14,51.200001
15-05-14,50.07
16-05-14,49.279999
19-05-14,49.669998
20-05-14,49.950001
21-05-14,49.669998
22-05-14,50.150002
23-05-14,50.799999
27-05-14,51.02
28-05-14,51.560001
29-05-14,50.599998
30-05-14,50.720001
02-06-14,50.700001
03-06-14,51.880001
04-06-14,51.5
05-06-14,51.060001
06-06-14,51
09-06-14,51.450001
10-06-14,51.049999
11-06-14,51.700001
12-06-14,51.82
13-06-14,51.540001
16-06-14,51.84
17-06-14,51.73
18-06-14,52.029999
19-06-14,53.150002
20-06-14,53.290001
23-06-14,52.77
24-06-14,52.560001
25-06-14,52.099998
26-06-14,52.740002
27-06-14,52.290001
30-06-14,52.75
01-07-14,52.630001
02-07-14,53.759998
03-07-14,54.439999
07-07-14,54.34
08-07-14,53.700001
09-07-14,53.59
10-07-14,53.32
11-07-14,53.73
14-07-14,54.740002
15-07-14,54.720001
16-07-14,54.57
17-07-14,53.549999
18-07-14,53.84
21-07-14,54.41
22-07-14,54.459999
23-07-14,55
24-07-14,55.299999
25-07-14,54.25
28-07-14,54.439999
29-07-14,54.57
30-07-14,54.560001
31-07-14,54.580002
01-08-14,53.619999
04-08-14,54.16
05-08-14,52.790001
06-08-14,52.400002
07-08-14,52.18
08-08-14,51.07
11-08-14,51.040001
12-08-14,51.25
13-08-14,51.139999
14-08-14,50.990002
15-08-14,52.23
18-08-14,51.889999
19-08-14,52.049999
20-08-14,52.509998
21-08-14,53.220001
22-08-14,53.610001
25-08-14,53.259998
26-08-14,52.279999
27-08-14,52.34
28-08-14,51.990002
29-08-14,52.400002
02-09-14,52.34
03-09-14,52.32
04-09-14,52.639999
05-09-14,51.560001
08-09-14,52.220001
09-09-14,52.43
10-09-14,51.150002
11-09-14,50.93
12-09-14,51.490002
15-09-14,51.830002
16-09-14,51.369999
17-09-14,52.23
18-09-14,52.549999
19-09-14,52.330002
22-09-14,51.860001
23-09-14,51.07
24-09-14,52.360001
25-09-14,53.73
26-09-14,53.459999
29-09-14,53.150002
30-09-14,53.77
01-10-14,53.790001
02-10-14,53.130001
03-10-14,54.59
06-10-14,54.66
07-10-14,53.759998
08-10-14,52.310001
09-10-14,54.07
10-10-14,52.400002
13-10-14,52.139999
14-10-14,50.02
15-10-14,48.939999
16-10-14,48.919998
17-10-14,52.009998
20-10-14,51.560001
21-10-14,52.189999
22-10-14,52.990002
23-10-14,53.529999
24-10-14,53.720001
27-10-14,53.41
28-10-14,54.34
29-10-14,54.77
30-10-14,53.919998
31-10-14,56.889999
03-11-14,55.689999
04-11-14,57.490002
05-11-14,57.77
06-11-14,57.959999
07-11-14,57.07
10-11-14,57.919998
11-11-14,57.82
12-11-14,57.740002
13-11-14,58
14-11-14,57.369999
17-11-14,56.700001
18-11-14,57.27
19-11-14,57.419998
20-11-14,57.029999
21-11-14,57.220001
24-11-14,57.220001
25-11-14,57.080002
26-11-14,56.52
28-11-14,56.860001
01-12-14,56.849998
02-12-14,56.779999
03-12-14,56.919998
04-12-14,57.34
05-12-14,57.459999
08-12-14,57.400002
09-12-14,57.07
10-12-14,57.41
11-12-14,56.75
12-12-14,56.900002
15-12-14,55.419998
16-12-14,55.290001
17-12-14,55.369999
18-12-14,56.02
19-12-14,57
22-12-14,57.98
23-12-14,58.540001
24-12-14,57.150002
26-12-14,57.049999
29-12-14,57.209999
30-12-14,57
31-12-14,57.200001
02-01-15,57.23
05-01-15,56
06-01-15,55.360001
07-01-15,55.540001
08-01-15,57.75
09-01-15,58.16
12-01-15,56.689999
13-01-15,57.66
14-01-15,56.700001
15-01-15,57.419998
16-01-15,56.689999
20-01-15,57.439999
21-01-15,58.169998
22-01-15,58.200001
23-01-15,58.540001
26-01-15,58.709999
27-01-15,58.919998
28-01-15,59.279999
29-01-15,58.369999
30-01-15,57.43
02-02-15,56.830002
03-02-15,57.5
04-02-15,56.869999
05-02-15,57.139999
06-02-15,58.009998
09-02-15,57.610001
10-02-15,56.360001
11-02-15,56.779999
12-02-15,56.880001
13-02-15,56.919998
17-02-15,56.310001
