Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,31.040001,31.160000,30.709999,31.139999,30.410301,5403300
2017-05-08,31.129999,31.309999,30.750000,30.790001,30.068502,3930800
2017-05-09,31.030001,31.530001,30.750000,31.150000,30.420067,7246100
2017-05-10,31.400000,31.459999,30.250000,31.360001,30.625145,11220900
2017-05-11,30.639999,32.320000,30.200001,32.000000,31.250149,15682200
2017-05-12,32.169998,32.480000,31.719999,31.889999,31.142725,7685800
2017-05-15,31.930000,32.470001,31.850000,32.310001,31.552887,6670400
2017-05-16,32.410000,32.450001,31.780001,31.780001,31.035305,6830500
2017-05-17,31.540001,31.650000,30.270000,30.299999,29.589983,9560600
2017-05-18,30.580000,30.590000,29.459999,29.670000,28.974745,12774800
2017-05-19,29.969999,30.320000,29.770000,29.879999,29.179823,6837800
2017-05-22,29.920000,30.059999,29.360001,29.440001,28.750137,6179000
2017-05-23,29.260000,29.290001,28.469999,28.760000,28.086071,14913100
2017-05-24,28.570000,29.150000,28.059999,28.980000,28.300915,14379200
2017-05-25,28.840000,29.049999,28.520000,28.709999,28.037241,8204200
2017-05-26,28.700001,28.709999,28.250000,28.500000,27.832161,6215500
2017-05-30,28.549999,28.719999,27.760000,27.820000,27.168097,10641100
2017-05-31,28.360001,28.490000,27.600000,27.860001,27.207161,15180700
2017-06-01,27.860001,29.219999,27.860001,29.010000,28.680222,13393300
2017-06-02,29.410000,29.660000,28.850000,29.030001,28.699995,8300500
2017-06-05,28.940001,29.309999,28.440001,28.990000,28.660448,7427800
2017-06-06,28.770000,28.870001,28.320000,28.750000,28.423178,6430800
2017-06-07,28.900000,29.430000,28.620001,28.780001,28.452837,10149600
2017-06-08,28.910000,29.680000,28.809999,29.530001,29.194311,11165700
2017-06-09,29.860001,30.320000,29.639999,30.219999,29.876467,11414900
2017-06-12,30.280001,30.830000,30.230000,30.440001,30.093966,8401500
2017-06-13,30.670000,30.860001,30.260000,30.520000,30.173058,5052700
2017-06-14,30.600000,30.700001,30.360001,30.670000,30.321352,4835100
2017-06-15,31.020000,31.830000,30.360001,30.430000,30.084080,11461400
2017-06-16,30.690001,30.930000,30.030001,30.920000,30.568510,6067500
2017-06-19,31.040001,31.440001,30.870001,31.330000,30.973848,5539400
2017-06-20,31.170000,31.559999,30.959999,31.370001,31.013393,4563700
2017-06-21,31.480000,31.600000,30.900000,31.049999,30.697031,7337300
2017-06-22,31.270000,32.570000,31.209999,32.520000,32.150322,11002500
2017-06-23,32.549999,32.810001,32.299999,32.610001,32.239296,5603600
2017-06-26,32.810001,33.410000,32.770000,32.950001,32.575432,6896500
2017-06-27,33.090000,33.090000,32.099998,32.160000,31.794413,5244400
2017-06-28,32.310001,33.080002,32.299999,32.810001,32.437027,5143600
2017-06-29,32.990002,33.529999,32.770000,32.830002,32.456799,6595500
2017-06-30,32.849998,33.410000,32.529999,33.220001,32.842361,5458700
2017-07-03,33.240002,33.570000,33.209999,33.310001,32.931343,2116800
2017-07-05,33.349998,33.450001,32.279999,32.709999,32.338161,6079400
2017-07-06,32.430000,32.500000,31.700001,31.770000,31.408848,5289500
2017-07-07,32.000000,32.049999,31.150000,31.540001,31.181461,5054800
2017-07-10,31.490000,31.590000,31.030001,31.170000,30.815668,7056200
2017-07-11,31.070000,31.360001,30.799999,30.969999,30.617941,5134700
2017-07-12,31.200001,32.130001,30.940001,32.090000,31.725210,10417100
2017-07-13,32.680000,33.820000,32.180000,33.189999,32.812702,20802500
2017-07-14,33.189999,33.389999,31.570000,31.900000,31.537367,15950100
2017-07-17,31.299999,32.080002,31.010000,31.830000,31.468164,7793700
2017-07-18,31.900000,32.270000,31.510000,31.950001,31.586802,5314300
2017-07-19,32.000000,32.259998,31.680000,31.920000,31.557142,3992600
2017-07-20,32.119999,32.740002,32.029999,32.430000,32.061344,5753600
2017-07-21,32.400002,32.650002,32.230000,32.639999,32.268955,3251300
2017-07-24,32.439999,32.779999,32.310001,32.470001,32.100891,4106200
2017-07-25,32.509998,32.910000,32.500000,32.759998,32.387592,4028700
2017-07-26,32.779999,33.180000,32.580002,33.040001,32.664413,4194500
2017-07-27,33.119999,33.240002,32.139999,32.450001,32.081116,7325800
2017-07-28,32.369999,32.439999,32.090000,32.340000,31.972368,4046700
2017-07-31,32.259998,32.509998,32.000000,32.169998,31.804296,4862500
2017-08-01,32.259998,32.330002,31.680000,31.860001,31.497824,6224500
2017-08-02,31.559999,31.580000,30.799999,31.250000,30.894758,9178200
2017-08-03,25.750000,26.370001,23.330000,23.750000,23.480017,106521800
2017-08-04,22.680000,22.750000,20.410000,20.600000,20.365826,93317100
2017-08-07,19.969999,20.139999,18.500000,18.590000,18.378674,85169700
2017-08-08,19.139999,19.420000,18.209999,18.290001,18.082085,51308900
2017-08-09,18.490000,18.490000,17.469999,17.500000,17.301064,60133300
2017-08-10,17.750000,17.940001,17.120001,17.190001,16.994589,41575700
2017-08-11,17.209999,17.450001,16.809999,17.299999,17.103338,25100600
2017-08-14,17.520000,17.780001,17.059999,17.160000,16.964930,20177500
2017-08-15,17.209999,18.010000,17.070000,17.969999,17.765722,22655000
2017-08-16,17.950001,18.010000,17.219999,17.490000,17.291178,24940400
2017-08-17,17.540001,17.750000,17.080000,17.100000,16.905613,12989000
2017-08-18,17.139999,17.530001,17.100000,17.299999,17.103338,9162900
2017-08-21,17.219999,17.309999,16.889999,17.040001,16.846294,11713800
2017-08-22,16.940001,17.469999,16.730000,17.010000,16.816635,14915500
2017-08-23,17.010000,17.020000,16.450001,16.490000,16.302546,19962200
2017-08-24,16.030001,16.629999,15.850000,16.360001,16.174023,23111100
2017-08-25,16.309999,16.559999,16.170000,16.209999,16.109426,11590300
2017-08-28,16.250000,16.309999,15.720000,15.930000,15.831164,17771100
2017-08-29,15.750000,15.830000,15.450000,15.770000,15.672157,15517400
2017-08-30,15.820000,15.910000,15.320000,15.460000,15.364080,19484300
2017-08-31,15.740000,16.280001,15.650000,15.860000,15.761599,32677800
2017-09-01,15.940000,16.160000,15.750000,15.900000,15.801351,20045100
2017-09-05,15.930000,16.110001,15.320000,15.410000,15.314390,21149600
2017-09-06,15.390000,15.580000,15.220000,15.520000,15.423709,13418600
2017-09-07,15.620000,15.850000,15.440000,15.470000,15.374019,13320600
2017-09-08,15.420000,15.560000,15.260000,15.500000,15.403832,14843100
2017-09-11,17.879999,19.240000,17.330000,18.500000,18.385220,98546000
2017-09-12,19.950001,20.100000,18.719999,19.330000,19.210070,59705100
2017-09-13,19.150000,19.549999,18.730000,18.860001,18.742987,24440500
2017-09-14,18.969999,19.219999,18.129999,18.360001,18.246088,18316100
2017-09-15,18.480000,18.520000,17.809999,18.100000,17.987701,20967200
2017-09-18,18.100000,18.139999,16.809999,16.990000,16.884588,33252800
2017-09-19,17.090000,17.330000,17.020000,17.190001,17.083347,20468600
2017-09-20,17.250000,17.540001,16.959999,17.110001,17.003843,16367100
2017-09-21,17.139999,17.330000,16.910000,17.150000,17.043594,15443100
2017-09-22,17.209999,17.320000,17.049999,17.190001,17.083347,8986300
2017-09-25,17.230000,17.420000,17.070000,17.170000,17.063471,9897300
2017-09-26,17.309999,17.420000,17.170000,17.260000,17.152912,8254800
2017-09-27,17.320000,17.750000,17.230000,17.620001,17.510679,13788500
2017-09-28,17.730000,17.860001,17.000000,17.160000,17.053534,20799500
2017-09-29,17.150000,17.750000,17.150000,17.600000,17.490803,12963900
2017-10-02,17.650000,18.770000,17.650000,18.469999,18.355404,24053100
2017-10-03,18.879999,19.160000,18.139999,18.820000,18.703234,22565500
2017-10-04,16.330000,16.740000,16.049999,16.080000,15.980234,79187800
2017-10-05,16.100000,16.150000,15.580000,15.680000,15.582716,37585400
2017-10-06,15.680000,15.970000,15.670000,15.940000,15.841102,19658600
2017-10-09,16.000000,16.150000,15.750000,15.770000,15.672157,10754500
2017-10-10,15.810000,15.950000,15.640000,15.890000,15.791413,12372700
2017-10-11,15.930000,15.950000,15.700000,15.760000,15.662219,8605700
2017-10-12,15.800000,15.820000,15.030000,15.150000,15.056004,20246400
2017-10-13,15.180000,15.220000,14.300000,14.980000,14.887058,27439900
2017-10-16,15.120000,15.150000,14.530000,14.710000,14.618733,22592500
2017-10-17,14.750000,14.970000,14.580000,14.740000,14.648547,14505700
2017-10-18,14.800000,14.940000,14.400000,14.620000,14.529292,17283200
2017-10-19,14.590000,14.970000,14.470000,14.930000,14.837369,14599100
2017-10-20,14.940000,14.990000,14.730000,14.900000,14.807554,13292900
2017-10-23,14.930000,14.950000,14.510000,14.540000,14.449788,14013300
2017-10-24,14.570000,14.580000,14.200000,14.280000,14.191401,16823300
2017-10-25,14.280000,14.280000,13.520000,13.930000,13.843574,23280100
2017-10-26,13.760000,14.010000,13.660000,13.690000,13.605062,16680100
2017-10-27,13.770000,13.770000,13.260000,13.320000,13.237357,16893700
2017-10-30,13.360000,14.000000,13.340000,13.550000,13.465931,23250500
2017-10-31,13.850000,14.120000,13.370000,13.800000,13.714380,32370100
2017-11-01,13.550000,14.080000,13.380000,14.020000,13.933015,25761400
2017-11-02,11.980000,12.240000,10.850000,11.230000,11.160324,117607600
